film_id,character,gender,betw_obs,null_mean,null_std,z_score,percentile,p_high
toy_story_3_2010,toy_story_3_2010_woody,M,0.5606,0.4917,0.0626,1.1,86.1,0.1394
toy_story_3_2010,toy_story_3_2010_buzz,M,0.2338,0.1823,0.0679,0.758,77.8,0.2224
toy_story_3_2010,toy_story_3_2010_bonnie,F,0.2078,0.0725,0.0544,2.489,97.7,0.0235
toy_story_3_2010,toy_story_3_2010_hamm,M,0.1255,0.0666,0.0529,1.114,85.7,0.1434
toy_story_3_2010,toy_story_3_2010_ken,M,0.1126,0.11,0.0629,0.041,55.8,0.4428
toy_story_3_2010,toy_story_3_2010_andy,M,0.1104,0.0903,0.0577,0.349,68.3,0.3173
toy_story_3_2010,toy_story_3_2010_mom,F,0.0823,0.0243,0.0323,1.793,93.8,0.0625
toy_story_3_2010,toy_story_3_2010_jessie,F,0.0779,0.0999,0.0616,-0.357,39.7,0.6032
toy_story_3_2010,toy_story_3_2010_lotso,M,0.0779,0.1469,0.0685,-1.007,14.0,0.8596
toy_story_3_2010,toy_story_3_2010_mr_potato_head,M,0.0433,0.0732,0.0538,-0.555,29.4,0.7056
toy_story_3_2010,toy_story_3_2010_barbie,F,0.0,0.0148,0.0259,-0.57,0.0,1.0
toy_story_3_2010,toy_story_3_2010_slinky,M,0.0,0.015,0.0262,-0.573,0.0,1.0
toy_story_3_2010,toy_story_3_2010_rex,M,0.0,0.0315,0.0377,-0.835,0.0,1.0
toy_story_3_2010,toy_story_3_2010_lifer,M,0.0,0.015,0.0257,-0.583,0.0,1.0
toy_story_3_2010,toy_story_3_2010_mrs_potato_head,F,0.0,0.0478,0.0456,-1.048,0.0,1.0
toy_story_3_2010,toy_story_3_2010_mr_pricklepants,M,0.0,0.0,0.0,,0.0,1.0
toy_story_3_2010,toy_story_3_2010_buttercup,M,0.0,0.015,0.0268,-0.559,0.0,1.0
toy_story_3_2010,toy_story_3_2010_molly,F,0.0,0.0142,0.0251,-0.567,0.0,1.0
toy_story_3_2010,toy_story_3_2010_one_eyed_bart,M,0.0,0.0,0.0,,0.0,1.0
toy_story_3_2010,toy_story_3_2010_trixie,F,0.0,0.0,0.0,,0.0,1.0
toy_story_3_2010,toy_story_3_2010_spanish_buzz,M,0.0,0.0144,0.0255,-0.564,0.0,1.0
toy_story_3_2010,toy_story_3_2010_dolly,F,0.0,0.0,0.0,,0.0,1.0
toy_story_3_2010,toy_story_3_2010_twitch,M,0.0,0.0,0.0,,0.0,1.0
