speaker_clean,addressee_clean,utterance_count
toy_story_3_2010_ken,toy_story_3_2010_barbie,33
toy_story_3_2010_barbie,toy_story_3_2010_ken,30
toy_story_3_2010_jessie,toy_story_3_2010_woody,19
toy_story_3_2010_buzz,toy_story_3_2010_lotso,17
toy_story_3_2010_mom,toy_story_3_2010_andy,14
toy_story_3_2010_woody,toy_story_3_2010_lotso,13
toy_story_3_2010_jessie,toy_story_3_2010_buzz,13
toy_story_3_2010_woody,toy_story_3_2010_buzz,12
toy_story_3_2010_rex,toy_story_3_2010_woody,11
toy_story_3_2010_andy,toy_story_3_2010_bonnie,10
toy_story_3_2010_andy,toy_story_3_2010_mom,10
toy_story_3_2010_buzz,toy_story_3_2010_woody,10
toy_story_3_2010_lotso,toy_story_3_2010_buzz,10
toy_story_3_2010_lotso,toy_story_3_2010_woody,9
toy_story_3_2010_slinky,toy_story_3_2010_woody,9
toy_story_3_2010_mr_potato_head,toy_story_3_2010_woody,9
toy_story_3_2010_lifer,toy_story_3_2010_woody,9
toy_story_3_2010_lotso,toy_story_3_2010_ken,8
toy_story_3_2010_jessie,toy_story_3_2010_lotso,8
toy_story_3_2010_woody,toy_story_3_2010_lifer,7
toy_story_3_2010_hamm,toy_story_3_2010_buzz,7
toy_story_3_2010_mrs_potato_head,toy_story_3_2010_mr_potato_head,6
toy_story_3_2010_woody,toy_story_3_2010_jessie,6
toy_story_3_2010_mrs_potato_head,toy_story_3_2010_woody,6
toy_story_3_2010_mr_pricklepants,toy_story_3_2010_woody,6
toy_story_3_2010_rex,toy_story_3_2010_buzz,6
toy_story_3_2010_mrs_potato_head,toy_story_3_2010_lotso,6
toy_story_3_2010_bonnie,toy_story_3_2010_woody,5
toy_story_3_2010_buttercup,toy_story_3_2010_woody,5
toy_story_3_2010_andy,toy_story_3_2010_molly,5
toy_story_3_2010_woody,toy_story_3_2010_one_eyed_bart,5
toy_story_3_2010_ken,toy_story_3_2010_lotso,5
toy_story_3_2010_ken,toy_story_3_2010_buzz,5
toy_story_3_2010_buzz,toy_story_3_2010_hamm,5
toy_story_3_2010_hamm,toy_story_3_2010_woody,5
toy_story_3_2010_woody,toy_story_3_2010_slinky,5
toy_story_3_2010_trixie,toy_story_3_2010_woody,5
toy_story_3_2010_molly,toy_story_3_2010_andy,5
toy_story_3_2010_spanish_buzz,toy_story_3_2010_jessie,4
toy_story_3_2010_mr_potato_head,toy_story_3_2010_mrs_potato_head,4
toy_story_3_2010_bonnie,toy_story_3_2010_mom,4
toy_story_3_2010_bonnie,toy_story_3_2010_andy,3
toy_story_3_2010_buzz,toy_story_3_2010_ken,3
toy_story_3_2010_hamm,toy_story_3_2010_rex,3
toy_story_3_2010_hamm,toy_story_3_2010_mr_potato_head,3
toy_story_3_2010_dolly,toy_story_3_2010_woody,3
toy_story_3_2010_jessie,toy_story_3_2010_spanish_buzz,3
toy_story_3_2010_mr_pricklepants,toy_story_3_2010_buttercup,3
toy_story_3_2010_mr_potato_head,toy_story_3_2010_lotso,3
toy_story_3_2010_twitch,toy_story_3_2010_ken,3
toy_story_3_2010_woody,toy_story_3_2010_bonnie,3
