film_id,scene_id,scene_number,scene_header,marker_type,start_line,end_line,scene_position_pct,utterance_count,spoken_utterance_count,song_utterance_count
toy_story_3_2010,toy_story_3_2010_s001,1,EXT. OLD WEST - DAY,slug_line,10,12,0.0,0,0,0
toy_story_3_2010,toy_story_3_2010_s002,2,EXT. TRAIN - DAY,slug_line,13,101,0.0076,23,23,0
toy_story_3_2010,toy_story_3_2010_s003,3,EXT. DESERT PLAINS,slug_line,102,138,0.0153,6,6,0
toy_story_3_2010,toy_story_3_2010_s004,4,INT. SPACESHIP - DAY,slug_line,139,160,0.0229,2,2,0
toy_story_3_2010,toy_story_3_2010_s005,5,INT. ANDY’S ROOM - DAY,slug_line,161,204,0.0305,10,10,0
toy_story_3_2010,toy_story_3_2010_s006,6,INT. ANDY’S KITCHEN - DAY - HANDHELD CAMCORDER POV,slug_line,205,220,0.0382,4,4,0
toy_story_3_2010,toy_story_3_2010_s007,7,INT. ANDY’S ROOM - DAY - HANDHELD CAMCORDER POV,slug_line,221,226,0.0458,1,1,0
toy_story_3_2010,toy_story_3_2010_s008,8,INT. ANDY’S ROOM - DAY - HANDHELD CAMCORDER POV,slug_line,227,231,0.0534,0,0,0
toy_story_3_2010,toy_story_3_2010_s009,9,EXT. FRONT YARD - DAY - HANDHELD CAMCORDER POV,slug_line,232,234,0.0611,0,0,0
toy_story_3_2010,toy_story_3_2010_s010,10,INT. ANDY’S ROOM - DAY - HANDHELD CAMCORDER POV,slug_line,235,242,0.0687,2,2,0
toy_story_3_2010,toy_story_3_2010_s011,11,INT. ANDY’S ROOM - NIGHT - HANDHELD CAMCORDER POV,slug_line,243,248,0.0763,0,0,0
toy_story_3_2010,toy_story_3_2010_s012,12,EXT. ANDY’S FRONT YARD - DAY - HANDHELD CAMCORDER POV,slug_line,249,252,0.084,0,0,0
toy_story_3_2010,toy_story_3_2010_s013,13,INT. ANDY’S ROOM - DAY - HANDHELD CAMCORDER POV,slug_line,253,261,0.0916,0,0,0
toy_story_3_2010,toy_story_3_2010_s014,14,"INT. TOY CHEST, ANDY’S ROOM - DAY",slug_line,262,635,0.0992,104,104,0
toy_story_3_2010,toy_story_3_2010_s015,15,INT. ANDY’S ROOM - DAY,slug_line,636,772,0.1069,32,32,0
toy_story_3_2010,toy_story_3_2010_s016,16,EXT. ANDY’S HOUSE - DAY,slug_line,773,831,0.1145,16,16,0
toy_story_3_2010,toy_story_3_2010_s017,17,INT. GARAGE - DAY,slug_line,832,876,0.1221,15,15,0
toy_story_3_2010,toy_story_3_2010_s018,18,EXT. ANDY’S YARD - DAY,slug_line,877,882,0.1298,1,1,0
toy_story_3_2010,toy_story_3_2010_s019,19,INT. CAR / GARAGE - DAY,slug_line,883,950,0.1374,20,20,0
toy_story_3_2010,toy_story_3_2010_s020,20,INT. DONATION BOX / CAR - DAY,slug_line,951,999,0.145,13,13,0
toy_story_3_2010,toy_story_3_2010_s021,21,"EXT. DAY CARE, PARKING LOT - DAY",slug_line,1000,1002,0.1527,0,0,0
toy_story_3_2010,toy_story_3_2010_s022,22,INT. / EXT. DONATION BOX / PARKING LOT - DAY,slug_line,1003,1023,0.1603,7,7,0
toy_story_3_2010,toy_story_3_2010_s023,23,INT. LOBBY - DAY,slug_line,1024,1052,0.1679,10,10,0
toy_story_3_2010,toy_story_3_2010_s024,24,INT. DONATION BOX / HALLWAY - DAY,slug_line,1053,1058,0.1756,2,2,0
toy_story_3_2010,toy_story_3_2010_s025,25,INT. DONATION BOX / BUTTERFLY CLASSROOM - CONTINUOUS,slug_line,1059,1295,0.1832,61,61,0
toy_story_3_2010,toy_story_3_2010_s026,26,INT. BATHROOM - DAY,slug_line,1296,1305,0.1908,2,2,0
toy_story_3_2010,toy_story_3_2010_s027,27,INT. CATERPILLAR ROOM - DAY,slug_line,1306,1503,0.1985,53,53,0
toy_story_3_2010,toy_story_3_2010_s028,28,INT. HALLWAY,slug_line,1504,1516,0.2061,2,2,0
toy_story_3_2010,toy_story_3_2010_s029,29,INT. BATHROOM - CONTINUOUS,slug_line,1517,1531,0.2137,2,2,0
toy_story_3_2010,toy_story_3_2010_s030,30,EXT. PLAYGROUND - DAY,slug_line,1532,1581,0.2214,6,6,0
toy_story_3_2010,toy_story_3_2010_s031,31,INT. CATERPILLAR ROOM - DAY,slug_line,1582,1644,0.229,13,13,0
toy_story_3_2010,toy_story_3_2010_s032,32,INT. BONNIE'S BEDROOM - DAY,slug_line,1645,1741,0.2366,29,29,0
toy_story_3_2010,toy_story_3_2010_s033,33,INT. BONNIE’S BEDROOM - MOMENTS LATER,slug_line,1742,1744,0.2443,0,0,0
toy_story_3_2010,toy_story_3_2010_s034,34,INT. TOY BOX - DAY,slug_line,1745,1752,0.2519,2,2,0
toy_story_3_2010,toy_story_3_2010_s035,35,INT. BONNIE’S BEDROOM - DAY,slug_line,1753,1820,0.2595,16,16,0
toy_story_3_2010,toy_story_3_2010_s036,36,INT. CATERPILLAR CLASSROOM - DUSK,slug_line,1821,1896,0.2672,24,24,0
toy_story_3_2010,toy_story_3_2010_s037,37,INT. CATERPILLAR CLASSROOM - LATER,slug_line,1897,1963,0.2748,19,19,0
toy_story_3_2010,toy_story_3_2010_s038,38,INT. HALLWAY - NIGHT,slug_line,1964,1967,0.2824,0,0,0
toy_story_3_2010,toy_story_3_2010_s039,39,INT. TEACHERS’ LOUNGE - NIGHT,slug_line,1968,1980,0.2901,1,1,0
toy_story_3_2010,toy_story_3_2010_s040,40,INT. VENDING MACHINE - NIGHT,slug_line,1981,2062,0.2977,24,24,0
toy_story_3_2010,toy_story_3_2010_s041,41,INT. BONNIE’S BEDROOM - NIGHT,slug_line,2063,2106,0.3053,13,13,0
