film_id,character_id,canonical_name,raw_speaker_labels,raw_speaker_label_variant_count,utterance_count,spoken_utterance_count,song_utterance_count,word_count_total,word_count_spoken_only,word_count_song_only,first_scene_id,first_event_id,notes
up,up_carl,Carl,CARL | CARL (O.S.) | YOUNG CARL,3,245,245,0,1547,1547,0,up_s001,12,
up,up_russell,Russell,RUSSELL | RUSSELL (O.S.),2,208,208,0,1515,1515,0,up_s048,78,
up,up_muntz,Muntz,MUNTZ | MUNTZ (O.S.),2,57,57,0,594,594,0,up_s001,6,
up,up_dug,Dug,DUG | DUG (O.S.),2,49,49,0,483,483,0,up_s096,304,
up,up_ellie,Ellie,YOUNG ELLIE | YOUNG ELLIE (O.S.),2,31,31,0,325,325,0,up_s004,28,
up,up_alpha,Alpha,ALPHA | ALPHA (CONT'D),2,22,22,0,250,250,0,up_s097,330,
up,up_newsreel_announcer,Newsreel Announcer,NEWSREEL ANNOUNCER (O.S.) | NEWSREEL ANNOUNCER (V.O.),2,17,17,0,184,184,0,up_s001,1,
up,up_gamma,Gamma,GAMMA | GAMMA (O.S.),2,15,15,0,83,83,0,up_s097,326,
up,up_beta,Beta,BETA,1,12,12,0,103,103,0,up_s097,327,
up,up_voice,Voice,VOICE | VOICE (O.S.),2,8,8,0,68,68,0,up_s096,285,
up,up_construction_foreman_tom,Construction Foreman Tom,CONSTRUCTION FOREMAN TOM,1,7,7,0,74,74,0,up_s046,65,
up,up_dog_walla,Dog Walla,DOG WALLA,1,6,6,0,59,59,0,up_s110,455,
up,up_camp_master_strauch,Camp Master Strauch,CAMP MASTER STRAUCH,1,5,5,0,62,62,0,up_s179,685,
up,up_construction_worker_steve,Construction Worker Steve,CONSTRUCTION WORKER STEVE,1,4,4,0,26,26,0,up_s049,113,
up,up_girl_s_voice,Girl'S Voice,GIRL'S VOICE (O.S.),1,4,4,0,48,48,0,up_s002,24,
up,up_nurse_george,Nurse George,NURSE GEORGE,1,3,3,0,25,25,0,up_s058,125,
up,up_dogs,Dogs,DOGS,1,2,2,0,21,21,0,up_s147,622,
up,up_officer_edith,Officer Edith,OFFICER EDITH,1,2,2,0,30,30,0,up_s053,121,
up,up_omega,Omega,OMEGA,1,2,2,0,8,8,0,up_s154,638,
up,up_carl_russell,Carl/Russell,CARL/RUSSELL,1,1,1,0,1,1,0,up_s176,678,
up,up_crowd,Crowd,CROWD,1,1,1,0,1,1,0,up_s001,9,
up,up_misc_dog,Misc Dog,MISC DOG,1,1,1,0,6,6,0,up_s163,647,
up,up_nurse_a_j,Nurse A.J.,NURSE A.J.,1,1,1,0,11,11,0,up_s058,129,
