film_id,scene_id,scene_number,scene_header,marker_type,start_line,end_line,scene_position_pct,utterance_count,spoken_utterance_count,song_utterance_count
up,up_s001,1,INT. MOVIE THEATRE - CONTINUOUS,slug_line,60,234,0.0,17,17,0
up,up_s002,2,"EXT. SMALL TOWN NEIGHBORHOOD, 1930'S - DAY - CONTINUOUS",slug_line,235,313,0.0056,9,9,0
up,up_s003,3,"INT. DILAPIDATED HOUSE, HALLWAY - CONTINUOUS",slug_line,314,327,0.0111,1,1,0
up,up_s004,4,"INT. DILAPIDATED HOUSE, LIVING ROOM - CONTINUOUS",slug_line,328,451,0.0167,11,11,0
up,up_s005,5,"INT. DILAPIDATED HOUSE, UPSTAIRS",slug_line,452,477,0.0222,3,3,0
up,up_s006,6,EXT. SMALL TOWN NEIGHBORHOOD STREET - DAY,slug_line,478,481,0.0278,0,0,0
up,up_s007,7,EXT. CARL'S HOUSE - NIGHT,slug_line,482,485,0.0333,0,0,0
up,up_s008,8,INT. CARL'S ROOM,slug_line,486,522,0.0389,4,4,0
up,up_s009,9,INT. CARL'S ROOM - MOMENTS LATER,slug_line,523,676,0.0444,16,16,0
up,up_s010,10,INT. CHURCH - DAY,slug_line,677,688,0.05,0,0,0
up,up_s011,11,EXT. DILAPIDATED HOUSE - DAY,slug_line,689,694,0.0556,0,0,0
up,up_s012,12,EXT. CARL AND ELLIE'S HOUSE - DAY,slug_line,695,698,0.0611,0,0,0
up,up_s013,13,"INT. CARL AND ELLIE'S HOUSE, LIVING ROOM - DAY",slug_line,699,702,0.0667,0,0,0
up,up_s014,14,EXT. CARL AND ELLIE'S HOUSE - DAY,slug_line,703,712,0.0722,0,0,0
up,up_s015,15,EXT. CARL AND ELLIE'S HOUSE - DAY,slug_line,713,719,0.0778,0,0,0
up,up_s016,16,EXT. RURAL HILLSIDE - DAY,slug_line,720,729,0.0833,0,0,0
up,up_s017,17,EXT. ZOO - DAY,slug_line,730,741,0.0889,0,0,0
up,up_s018,18,"INT. CARL AND ELLIE'S HOUSE, LIVING ROOM - DAY",slug_line,742,747,0.0944,0,0,0
up,up_s019,19,EXT. RURAL HILLSIDE - DAY,slug_line,748,757,0.1,0,0,0
up,up_s020,20,"INT. CARL AND ELLIE'S HOUSE, BABY ROOM - DAY",slug_line,758,763,0.1056,0,0,0
up,up_s021,21,INT. DOCTOR'S OFFICE - AFTERNOON,slug_line,764,769,0.1111,0,0,0
up,up_s022,22,"EXT. CARL AND ELLIE'S HOUSE, LIVING ROOM - AFTERNOON",slug_line,770,776,0.1167,0,0,0
up,up_s023,23,"EXT. CARL AND ELLIE'S HOUSE, YARD - AFTERNOON",slug_line,777,780,0.1222,0,0,0
up,up_s024,24,"INT. CARL AND ELLIE'S HOUSE, LIVING ROOM - AFTERNOON",slug_line,781,790,0.1278,0,0,0
up,up_s025,25,"INT. CARL AND ELLIE'S HOUSE, LIVING ROOM - AFTERNOON",slug_line,791,816,0.1333,0,0,0
up,up_s026,26,"INT. CARL AND ELLIE'S HOUSE, FRONT HALL - MORNING",slug_line,817,822,0.1389,0,0,0
up,up_s027,27,"INT. CARL AND ELLIE'S HOUSE, FRONT HALL - 3 YEARS LATER",slug_line,823,831,0.1444,0,0,0
up,up_s028,28,"INT. CARL AND ELLIE'S HOUSE, FRONT HALL - 30 YEARS LATER",slug_line,832,835,0.15,0,0,0
up,up_s029,29,EXT. ZOO - DAY,slug_line,836,843,0.1556,0,0,0
up,up_s030,30,"INT. CARL AND ELLIE'S HOUSE, LIVING ROOM - NIGHT",slug_line,844,851,0.1611,0,0,0
up,up_s031,31,"INT. CARL AND ELLIE'S HOUSE, LIVING ROOM WINDOW - AFTERNOON",slug_line,852,857,0.1667,0,0,0
up,up_s032,32,"INT. CARL'S HOUSE, LIVING ROOM - AFTERNOON",slug_line,858,873,0.1722,0,0,0
up,up_s033,33,EXT. TRAVEL AGENCY - DAY,slug_line,874,877,0.1778,0,0,0
up,up_s034,34,EXT. RURAL HILLSIDE - AFTERNOON,slug_line,878,890,0.1833,0,0,0
up,up_s035,35,INT. HOSPITAL ROOM - DAY,slug_line,891,906,0.1889,0,0,0
up,up_s036,36,INT. CHURCH - AFTERNOON,slug_line,907,910,0.1944,0,0,0
up,up_s037,37,EXT. CARL AND ELLIE'S HOUSE - DUSK,slug_line,911,916,0.2,0,0,0
up,up_s038,38,INT. CARL'S BEDROOM - MORNING - SEVERAL YEARS LATER,slug_line,917,929,0.2056,0,0,0
up,up_s039,39,INT. CARL'S STAIRCASE - LATER,slug_line,930,939,0.2111,0,0,0
up,up_s040,40,INT. CARL'S KITCHEN - LATER,slug_line,940,944,0.2167,0,0,0
up,up_s041,41,INT. CARL'S LIVING ROOM WINDOW - LATER,slug_line,945,950,0.2222,0,0,0
up,up_s042,42,INT. CARL'S LIVING ROOM - LATER,slug_line,951,954,0.2278,0,0,0
up,up_s043,43,"INT. CARL'S HOUSE, FRONT HALL - LATER",slug_line,955,960,0.2333,0,0,0
up,up_s044,44,"EXT. CARL'S HOUSE, PORCH - CONTINUOUS",slug_line,961,974,0.2389,0,0,0
up,up_s045,45,EXT. CARL'S NEIGHBORHOOD - CONTINUOUS,slug_line,975,982,0.2444,0,0,0
up,up_s046,46,"EXT. CARL'S HOUSE, PORCH - MORNING",slug_line,983,1114,0.25,16,16,0
up,up_s047,47,INT. CARL'S LIVING ROOM - DAY - LATER,slug_line,1115,1120,0.2556,0,0,0
up,up_s048,48,"EXT. CARL'S HOUSE, PORCH - DAY",slug_line,1121,1189,0.2611,10,10,0
up,up_s049,49,"INT. CARL'S HOUSE, FRONT HALL - CONTINUOUS",slug_line,1190,1432,0.2667,33,33,0
up,up_s050,50,INT. CARL'S LIVING ROOM,slug_line,1433,1445,0.2722,0,0,0
up,up_s051,51,INT. COURTHOUSE HALLWAY - DAY,slug_line,1446,1449,0.2778,0,0,0
up,up_s052,52,INT. COURTROOM - DAY,slug_line,1450,1455,0.2833,0,0,0
up,up_s053,53,EXT. CARL'S HOUSE - LATE EVENING,slug_line,1456,1483,0.2889,3,3,0
up,up_s054,54,"INT. CARL'S HOUSE, HALLWAY - NIGHT",slug_line,1484,1493,0.2944,0,0,0
up,up_s055,55,"INT. CARL'S HOUSE, CLOSET",slug_line,1494,1499,0.3,0,0,0
up,up_s056,56,"INT. CARL'S HOUSE, LIVING ROOM",slug_line,1500,1518,0.3056,0,0,0
up,up_s057,57,EXT. CARL'S HOUSE - NIGHT,slug_line,1519,1526,0.3111,0,0,0
up,up_s058,58,EXT. CARL'S HOUSE - MORNING,slug_line,1527,1609,0.3167,8,8,0
up,up_s059,59,INT. APARTMENT - CONTINUOUS,slug_line,1610,1615,0.3222,0,0,0
up,up_s060,60,EXT. TOWN,slug_line,1616,1619,0.3278,0,0,0
up,up_s061,61,EXT. SHOP WINDOW,slug_line,1620,1623,0.3333,0,0,0
up,up_s062,62,EXT. ABOVE THE TOWN,slug_line,1624,1634,0.3389,0,0,0
up,up_s063,63,"INT. CARL'S HOUSE, LIVING ROOM",slug_line,1635,1638,0.3444,0,0,0
up,up_s064,64,"EXT. CARL'S HOUSE, BEDROOM WINDOW",slug_line,1639,1646,0.35,0,0,0
up,up_s065,65,"INT. CARL'S HOUSE, LIVING ROOM",slug_line,1647,1650,0.3556,0,0,0
up,up_s066,66,EXT. CARL'S HOUSE,slug_line,1651,1656,0.3611,0,0,0
up,up_s067,67,"INT. CARL'S HOUSE, LIVING ROOM",slug_line,1657,1674,0.3667,1,1,0
up,up_s068,68,"EXT. CARL'S HOUSE, FLOATING",slug_line,1675,1678,0.3722,0,0,0
up,up_s069,69,"INT. CARL'S HOUSE, LIVING ROOM",slug_line,1679,1701,0.3778,2,2,0
up,up_s070,70,"EXT. CARL'S HOUSE, PORCH - DAY - CONTINUOUS",slug_line,1702,1758,0.3833,7,7,0
up,up_s071,71,"INT. CARL'S HOUSE, HALLWAY - CONTINUOUS",slug_line,1759,1839,0.3889,9,9,0
up,up_s072,72,"EXT. CARL'S HOUSE, WINDOW - CONTINUOUS",slug_line,1840,1897,0.3944,5,5,0
up,up_s073,73,"INT. CARL'S HOUSE, LIVING ROOM - DAY - CONTINUOUS",slug_line,1898,1954,0.4,6,6,0
up,up_s074,74,"EXT. CARL'S HOUSE, WINDOW - CONTINUOUS",slug_line,1955,1962,0.4056,1,1,0
up,up_s075,75,"INT. CARL'S HOUSE, LIVING ROOM - CONTINUOUS",slug_line,1963,2003,0.4111,2,2,0
up,up_s076,76,"EXT. CARL'S HOUSE, FLOATING",slug_line,2004,2009,0.4167,0,0,0
up,up_s077,77,"INT. CARL'S HOUSE, LIVING ROOM - MORNING",slug_line,2010,2048,0.4222,5,5,0
up,up_s078,78,"EXT. CARL'S HOUSE, WINDOW",slug_line,2049,2056,0.4278,1,1,0
up,up_s079,79,"EXT. CARL'S HOUSE, FLOATING",slug_line,2057,2060,0.4333,0,0,0
up,up_s080,80,"EXT. CARL'S HOUSE, WINDOW",slug_line,2061,2066,0.4389,1,1,0
up,up_s081,81,"INT. CARL'S HOUSE, LIVING ROOM",slug_line,2067,2092,0.4444,3,3,0
up,up_s082,82,"EXT. CARL'S HOUSE, FLOATING",slug_line,2093,2103,0.45,1,1,0
up,up_s083,83,"INT. CARL'S HOUSE, LIVING ROOM",slug_line,2104,2121,0.4556,2,2,0
up,up_s084,84,"EXT. CARL'S HOUSE, FLOATING",slug_line,2122,2125,0.4611,0,0,0
up,up_s085,85,"INT. CARL'S HOUSE, LIVING ROOM",slug_line,2126,2139,0.4667,2,2,0
up,up_s086,86,"EXT. CARL'S HOUSE, FLOATING",slug_line,2140,2151,0.4722,1,1,0
up,up_s087,87,"EXT. CARL'S HOUSE, PORCH",slug_line,2152,2192,0.4778,5,5,0
up,up_s088,88,"EXT. MOUNTAIN, ROCKY LANDSCAPE",slug_line,2193,2381,0.4833,24,24,0
up,up_s089,89,"EXT. MOUNTAIN, ROCKY LANDSCAPE, DAY - LATER",slug_line,2382,2480,0.4889,11,11,0
up,up_s090,90,"EXT. MOUNTAIN, JUNGLE CLEARING - DAY",slug_line,2481,2490,0.4944,0,0,0
up,up_s091,91,"EXT. MOUNTAIN, GROVE OF TREES - CONTINUOUS",slug_line,2491,2498,0.5,0,0,0
up,up_s092,92,"EXT. MOUNTAIN, CLEARING - CONTINUOUS",slug_line,2499,2519,0.5056,0,0,0
up,up_s093,93,"EXT. MOUNTAIN, THICK JUNGLE - DAY - CONTINUOUS",slug_line,2520,2626,0.5111,16,16,0
up,up_s094,94,"EXT. MOUNTAIN, THICK JUNGLE - CONTINUOUS",slug_line,2627,2709,0.5167,7,7,0
up,up_s095,95,"EXT. MOUNTAIN, THICK JUNGLE CLEARING",slug_line,2710,2975,0.5222,39,39,0
up,up_s096,96,"EXT. MOUNTAIN, ROCKY LANDSCAPE - DAY",slug_line,2976,3286,0.5278,43,43,0
up,up_s097,97,"EXT. MOUNTAIN, THICK JUNGLE CLEARING - DAY",slug_line,3287,3505,0.5333,27,27,0
up,up_s098,98,"EXT. MOUNTAIN, JUNGLE - DAY",slug_line,3506,3649,0.5389,21,21,0
up,up_s099,99,EXT. MOUNTAIN HILLSIDE,slug_line,3650,3653,0.5444,0,0,0
up,up_s100,100,EXT. MOUNTAIN TREETOPS,slug_line,3654,3661,0.55,1,1,0
up,up_s101,101,EXT. MOUNTAIN STREAM,slug_line,3662,3671,0.5556,1,1,0
up,up_s102,102,EXT. MOUNTAIN JUNGLE,slug_line,3672,3679,0.5611,1,1,0
up,up_s103,103,EXT. MOUNTAIN STEEP HILLSIDE,slug_line,3680,3689,0.5667,1,1,0
up,up_s104,104,"EXT. MOUNTAIN, JUNGLE CLEARING - CONTINUOUS",slug_line,3690,3714,0.5722,3,3,0
up,up_s105,105,"EXT. MOUNTAIN, FLAT ROCKY AREA - NIGHT",slug_line,3715,3939,0.5778,32,32,0
up,up_s106,106,"EXT. MOUNTAIN, FLAT ROCKY AREA - MORNING",slug_line,3940,4077,0.5833,18,18,0
up,up_s107,107,"EXT. MOUNTAIN, EDGE OF JUNGLE - MOMENTS LATER",slug_line,4078,4083,0.5889,0,0,0
up,up_s108,108,"EXT. MOUNTAIN, FLAT ROCKY AREA",slug_line,4084,4192,0.5944,11,11,0
up,up_s109,109,"EXT. MOUNTAIN, DESOLATE ROCKY AREA - DAY",slug_line,4193,4205,0.6,0,0,0
up,up_s110,110,"EXT. MOUNTAIN, CAVE ENTRANCE",slug_line,4206,4361,0.6056,20,20,0
up,up_s111,111,INT. CAVE - CONTINUOUS,slug_line,4362,4436,0.6111,11,11,0
up,up_s112,112,EXT. DIRIGIBLE GANGPLANK - MOMENTS LATER,slug_line,4437,4446,0.6167,1,1,0
up,up_s113,113,INT. DIRIGIBLE - TROPHY ROOM,slug_line,4447,4582,0.6222,13,13,0
up,up_s114,114,"INT. DIRIGIBLE, DINING ROOM",slug_line,4583,4926,0.6278,38,38,0
up,up_s115,115,INT. CAVE,slug_line,4927,4997,0.6333,6,6,0
