film_id,event_id,scene_id,utterance_id,scene_position_pct,speaker,raw_speaker,character_id,canonical_name,text,word_count,utterance_type,addressee,addressee_type,line_number,parenthetical,cue_type,gender,gender_rationale,is_named,is_protagonist,included_in_network,parser_canonical_name
up,1,up_s001,up_s001_u0001,0.0,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (O.S.),up_newsreel_announcer,Newsreel Announcer,"This lighter-than-air craft was designed by Muntz himself, and is longer than 22 Prohibition paddy- wagons placed end to end.",20,spoken,,,66,,indented,M,,False,False,False,Newsreel Announcer
up,2,up_s001,up_s001_u0002,0.0,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,And here comes the adventurer now!,6,spoken,,,80,,indented,M,,False,False,False,Newsreel Announcer
up,3,up_s001,up_s001_u0003,0.0,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,"Never apart from his faithful dogs, Muntz conceived the craft for canine comfort! It's a veritable floating palace in the sky...",21,spoken,,,89,,indented,M,,False,False,False,Newsreel Announcer
up,4,up_s001,up_s001_u0004,0.0,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,...complete with doggie bath and mechanical canine walker.,8,spoken,,,101,,indented,M,,False,False,False,Newsreel Announcer
up,5,up_s001,up_s001_u0005,0.0,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,"And Jiminy Cricket, do the locals consider Muntz the bee's knees! And how!",13,spoken,,,111,,indented,M,,False,False,False,Newsreel Announcer
up,6,up_s001,up_s001_u0006,0.0,MUNTZ,MUNTZ,up_muntz,Muntz,"""Adventure is out there!""",4,spoken,,,123,,indented,M,,True,False,True,Muntz
up,7,up_s001,up_s001_u0007,0.0,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,But what has Muntz brought back this time?,8,spoken,,,129,,indented,M,,False,False,False,Newsreel Announcer
up,8,up_s001,up_s001_u0008,0.0,MUNTZ,MUNTZ,up_muntz,Muntz,"Gentlemen, I give you: the Monster of Paradise Falls!",9,spoken,,,139,,indented,M,,True,False,True,Muntz
up,9,up_s001,up_s001_u0009,0.0,CROWD,CROWD,up_crowd,Crowd,Ooh!,1,spoken,,,147,,indented,Both,,False,False,False,Crowd
up,10,up_s001,up_s001_u0010,0.0,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,"And golly, what a swell monster this is. But what's this?",11,spoken,,,153,,indented,M,,False,False,False,Newsreel Announcer
up,11,up_s001,up_s001_u0011,0.0,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,Scientists cry foul! The National Explorers Society accuses Muntz of fabricating the skeleton!,13,spoken,,,162,,indented,M,,False,False,False,Newsreel Announcer
up,12,up_s001,up_s001_u0012,0.0,YOUNG CARL,YOUNG CARL,up_carl,Carl,No!,1,spoken,,,170,,indented,M,,True,True,True,Carl
up,13,up_s001,up_s001_u0013,0.0,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,The organization strips Muntz of his membership.,7,spoken,,,178,,indented,M,,False,False,False,Newsreel Announcer
up,14,up_s001,up_s001_u0014,0.0,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,"Humiliated, Muntz vows a return to Paradise Falls and promises to capture the beast... alive!",15,spoken,,,194,,indented,M,,False,False,False,Newsreel Announcer
up,15,up_s001,up_s001_u0015,0.0,MUNTZ,MUNTZ,up_muntz,Muntz,I promise to capture the beast... alive!,7,spoken,,,202,,indented,M,,True,False,True,Muntz
up,16,up_s001,up_s001_u0016,0.0,MUNTZ,MUNTZ,up_muntz,Muntz,And I will not come back until I do!,9,spoken,,,210,,indented,M,,True,False,True,Muntz
up,17,up_s001,up_s001_u0017,0.0,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,"And so the explorer is off to clear his name. Bon voyage Charles Muntz, and good luck capturing the Monster of Paradise Falls!",23,spoken,,,220,,indented,M,,False,False,False,Newsreel Announcer
up,18,up_s002,up_s002_u0018,0.0056,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,Here's Charles Muntz piloting his famous dirigible!!,7,spoken,,,245,,indented,M,,False,False,False,Newsreel Announcer
up,19,up_s002,up_s002_u0019,0.0056,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,He hurdles Pike's Peak!,4,spoken,,,253,,indented,M,,False,False,False,Newsreel Announcer
up,20,up_s002,up_s002_u0020,0.0056,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,He hurdles the Grand Canyon!,5,spoken,,,259,,indented,M,,False,False,False,Newsreel Announcer
up,21,up_s002,up_s002_u0021,0.0056,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,He hurdles Mount Everest!,4,spoken,,,265,,indented,M,,False,False,False,Newsreel Announcer
up,22,up_s002,up_s002_u0022,0.0056,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,He... goes around Mount Everest! Is there nothing he cannot do?,11,spoken,,,271,,indented,M,,False,False,False,Newsreel Announcer
up,23,up_s002,up_s002_u0023,0.0056,NEWSREEL ANNOUNCER,NEWSREEL ANNOUNCER (V.O.),up_newsreel_announcer,Newsreel Announcer,"Yes, as Muntz himself says: ""Adventure is--""",7,spoken,,,279,,indented,M,,False,False,False,Newsreel Announcer
up,24,up_s002,up_s002_u0024,0.0056,GIRL'S VOICE,GIRL'S VOICE (O.S.),up_girl_s_voice,Girl'S Voice,"""Adventure is out there!""",4,spoken,,,285,,indented,F,,False,False,False,Girl'S Voice
up,25,up_s002,up_s002_u0025,0.0056,GIRL'S VOICE,GIRL'S VOICE (O.S.),up_girl_s_voice,Girl'S Voice,Look out! Mount Rushmore! Hard to starboard. Must get the Spirit of Adventure over Mount Rushmore...,16,spoken,,,297,,indented,F,,False,False,False,Girl'S Voice
up,26,up_s002,up_s002_u0026,0.0056,GIRL'S VOICE,GIRL'S VOICE (O.S.),up_girl_s_voice,Girl'S Voice,Hold together old girl. How're my dogs doing? Ruff ruff!,10,spoken,,,308,,indented,F,,False,False,False,Girl'S Voice
up,27,up_s003,up_s003_u0027,0.0112,GIRL'S VOICE,GIRL'S VOICE (O.S.),up_girl_s_voice,Girl'S Voice,"All engines ahead full! Let's take her up to 26,000 feet! Rudders eighteen degrees towards the south.",17,spoken,,,320,,indented,F,,False,False,False,Girl'S Voice
up,28,up_s004,up_s004_u0028,0.0168,YOUNG ELLIE,YOUNG ELLIE,up_ellie,Ellie,"It's a beautiful day, winds out of the east at ten knots. Visibility... unlimited. Enter the weather in the logbook!",20,spoken,,,344,(yells a command),indented,F,,True,False,True,Ellie
up,29,up_s004,up_s004_u0029,0.0168,YOUNG ELLIE,YOUNG ELLIE,up_ellie,Ellie,"Oh! There's something down there! I will bring it back for science. Awwww, it's a puppy!",16,spoken,,,360,,indented,F,,True,False,True,Ellie
up,30,up_s004,up_s004_u0030,0.0168,YOUNG ELLIE,YOUNG ELLIE (O.S.),up_ellie,Ellie,No time! A storm! Lightning! Hail!,6,spoken,,,372,,indented,F,,True,False,True,Ellie
up,31,up_s004,up_s004_u0031,0.0168,YOUNG ELLIE,YOUNG ELLIE,up_ellie,Ellie,What are you doing!?!,4,spoken,,,379,,indented,F,,True,False,True,Ellie
up,32,up_s004,up_s004_u0032,0.0168,YOUNG ELLIE,YOUNG ELLIE,up_ellie,Ellie,"Don't you know this is an exclusive club? Only explorers get in here. Not just any kid off the street with a helmet and a pair of goggles. Do you think you got what it takes? Well, do you?!?",39,spoken,,,389,,indented,F,,True,False,True,Ellie
up,33,up_s004,up_s004_u0033,0.0168,YOUNG ELLIE,YOUNG ELLIE,up_ellie,Ellie,"Alright, you're in. Welcome aboard.",5,spoken,,,405,,indented,F,,True,False,True,Ellie
