film_id,character,gender,betw_obs,null_mean,null_std,z_score,percentile,p_high
zootopia_2016,zootopia_2016_hopps,F,0.6344,0.5942,0.0334,1.204,89.6,0.1039
zootopia_2016,zootopia_2016_bogo,M,0.1008,0.1112,0.0539,-0.194,45.6,0.5442
zootopia_2016,zootopia_2016_lionheart,M,0.0731,0.0692,0.0485,0.081,58.4,0.4158
zootopia_2016,zootopia_2016_yax_the_hippie_yak,M,0.0711,0.0352,0.0357,1.007,83.2,0.1679
zootopia_2016,zootopia_2016_bellwether,F,0.0553,0.0503,0.0426,0.119,59.3,0.4073
zootopia_2016,zootopia_2016_oryx_pootosser,M,0.0336,0.0088,0.0197,1.258,87.3,0.1274
zootopia_2016,zootopia_2016_nick,M,0.0316,0.1115,0.0584,-1.367,4.5,0.955
zootopia_2016,zootopia_2016_flash,M,0.0,0.0344,0.0359,-0.959,0.0,1.0
zootopia_2016,zootopia_2016_stu_hopps,M,0.0,0.035,0.0355,-0.985,0.0,1.0
zootopia_2016,zootopia_2016_bonnie_hopps,F,0.0,0.0352,0.0363,-0.97,0.0,1.0
zootopia_2016,zootopia_2016_clawhauser,M,0.0,0.0352,0.0367,-0.958,0.0,1.0
zootopia_2016,zootopia_2016_mr_big,M,0.0,0.0199,0.0283,-0.703,0.0,1.0
zootopia_2016,zootopia_2016_reporter,M,0.0,0.0,0.0,,0.0,1.0
zootopia_2016,zootopia_2016_gideon_grey,M,0.0,0.0081,0.0194,-0.419,0.0,1.0
zootopia_2016,zootopia_2016_doug,M,0.0,0.0,0.0,,0.0,1.0
zootopia_2016,zootopia_2016_duke_weaselton,M,0.0,0.0075,0.0181,-0.413,0.0,1.0
zootopia_2016,zootopia_2016_mrs_otterton,F,0.0,0.008,0.0192,-0.418,0.0,1.0
zootopia_2016,zootopia_2016_nangi,F,0.0,0.008,0.0189,-0.425,0.0,1.0
zootopia_2016,zootopia_2016_major_friedkin,F,0.0,0.0,0.0,,0.0,1.0
zootopia_2016,zootopia_2016_mean_kid_animal,M,0.0,0.0,0.0,,0.0,1.0
zootopia_2016,zootopia_2016_kudu_pootosser,M,0.0,0.0,0.0,,0.0,1.0
zootopia_2016,zootopia_2016_badger_doctor,M,0.0,0.0,0.0,,0.0,1.0
zootopia_2016,zootopia_2016_fru_fru_shrew,F,0.0,0.008,0.0189,-0.425,0.0,1.0
zootopia_2016,zootopia_2016_gazelle,F,0.0,0.0,0.0,,0.0,1.0
