film_id,character_id,canonical_name,raw_speaker_labels,raw_speaker_label_variant_count,utterance_count,spoken_utterance_count,song_utterance_count,word_count_total,word_count_spoken_only,word_count_song_only,first_scene_id,first_event_id,notes
zootopia_2016,zootopia_2016_hopps,Hopps,HOPPS | HOPPS (CONT'D) | HOPPS (O.C.) | HOPPS (O.S.) | HOPPS (V.O.) | HOPPS(CONT'D),6,303,303,0,4449,4449,0,zootopia_2016_s008,119,
zootopia_2016,zootopia_2016_nick,Nick,NICK | NICK (CONT'D) | NICK (O.S.) | NICK (V.O.) | YOUNG NICK | YOUNG NICK (CONT'D),6,185,185,0,3509,3509,0,zootopia_2016_s012,162,
zootopia_2016,zootopia_2016_bogo,Bogo,BOGO | BOGO (CONT'D) | BOGO (O.S.) | BOGO (PRE-LAP),4,53,53,0,731,731,0,zootopia_2016_s010,142,
zootopia_2016,zootopia_2016_stu_hopps,Stu Hopps,STU HOPPS | STU HOPPS (CONT'D) | STU HOPPS (O.S.) | STU HOPPS (V.O.),4,43,43,0,493,493,0,zootopia_2016_s001,1,
zootopia_2016,zootopia_2016_bellwether,Bellwether,BELLWETHER | BELLWETHER (CONT'D) | BELLWETHER (O.S.) | BELLWETHER (ON CARROT PEN RECORDER),4,42,41,1,797,763,34,zootopia_2016_s003,70,
zootopia_2016,zootopia_2016_bonnie_hopps,Bonnie Hopps,BONNIE HOPPS | BONNIE HOPPS (O.S.) | BONNIE HOPPS (V.O.),3,35,35,0,320,320,0,zootopia_2016_s001,4,
zootopia_2016,zootopia_2016_clawhauser,Clawhauser,CLAWHAUSER | CLAWHAUSER (CONT'D) | CLAWHAUSER (INTERCOM) | CLAWHAUSER (ON RADIO) | CLAWHAUSER(INTERCOM),5,23,23,0,375,375,0,zootopia_2016_s009,130,
zootopia_2016,zootopia_2016_flash,Flash,FLASH,1,21,21,0,82,82,0,zootopia_2016_s031,398,
zootopia_2016,zootopia_2016_judy,Judy,JUDY | JUDY (CONT'D) | YOUNG JUDY | YOUNG JUDY (CONT'D) | YOUNG JUDY (O.S.),5,21,21,0,307,307,0,zootopia_2016_s001,2,
zootopia_2016,zootopia_2016_lionheart,Lionheart,LIONHEART | LIONHEART (CONT'D) | LIONHEART (INTERCOM) | LIONHEART (O.S.),4,20,20,0,354,354,0,zootopia_2016_s003,67,
zootopia_2016,zootopia_2016_gideon_grey,Gideon Grey,ADULT GIDEON GREY | GIDEON GREY | GIDEON GREY (CONT'D) | GIDEON GREY (V.O.),4,14,14,0,334,334,0,zootopia_2016_s001,24,
zootopia_2016,zootopia_2016_duke_weaselton,Duke Weaselton,DUKE WEASELTON | DUKE WEASELTON (CONT'D) | DUKE WEASELTON (PRE-LAP) | DUKE WEASELTON (V.O.),4,13,13,0,250,250,0,zootopia_2016_s022,255,
zootopia_2016,zootopia_2016_mr_big,Mr. Big,MR. BIG,1,13,13,0,302,302,0,zootopia_2016_s038,486,
zootopia_2016,zootopia_2016_gazelle,Gazelle,GAZELLE | GAZELLE (ON PHONE) | GAZELLE (V.O.),3,9,9,0,125,125,0,zootopia_2016_s007,116,
zootopia_2016,zootopia_2016_mrs_otterton,Mrs. Otterton,MRS. OTTERTON | MRS. OTTERTON (CONT'D),2,9,9,0,142,142,0,zootopia_2016_s025,287,
zootopia_2016,zootopia_2016_reporter,Reporter,REPORTER | REPORTER (O.S.) | REPORTER 2 | REPORTER 3 | REPORTER 4 | REPORTER 5 | REPORTER 6,7,9,9,0,89,89,0,zootopia_2016_s054,710,
zootopia_2016,zootopia_2016_fru_fru_shrew,Fru Fru Shrew,FRU FRU SHREW,1,7,7,0,91,91,0,zootopia_2016_s023,266,
zootopia_2016,zootopia_2016_yax_the_hippie_yak,Yax The Hippie Yak,YAX THE HIPPIE YAK | YAX THE HIPPIE YAK (CONT'D),2,7,7,0,154,154,0,zootopia_2016_s028,355,
zootopia_2016,zootopia_2016_doug,Doug,DOUG | DOUG (CONT'D),2,6,6,0,208,208,0,zootopia_2016_s067,855,
zootopia_2016,zootopia_2016_major_friedkin,Major Friedkin,MAJOR FRIEDKIN | MAJOR FRIEDKIN (CONT'D) | MAJOR FRIEDKIN(CONT'D),3,6,6,0,111,111,0,zootopia_2016_s002,49,
zootopia_2016,zootopia_2016_mean_kid_animal,Mean Kid Animal,MEAN KID ANIMAL | MEAN KID ANIMAL (O.S.) | MEAN KID ANIMAL (V.O.),3,6,6,0,105,105,0,zootopia_2016_s046,581,
zootopia_2016,zootopia_2016_oryx_pootosser,Oryx Pootosser,ORYX POOTOSSER | ORYX POOTOSSER (O.S.),2,6,6,0,54,54,0,zootopia_2016_s008,122,
zootopia_2016,zootopia_2016_yax,Yax,YAX,1,6,6,0,108,108,0,zootopia_2016_s029,372,
zootopia_2016,zootopia_2016_badger_doctor,Badger Doctor,BADGER DOCTOR,1,5,5,0,78,78,0,zootopia_2016_s051,666,
zootopia_2016,zootopia_2016_kudu_pootosser,Kudu Pootosser,KUDU POOTOSSER | KUDU POOTOSSER (O.S.),2,5,5,0,33,33,0,zootopia_2016_s008,121,
zootopia_2016,zootopia_2016_nangi,Nangi,NANGI,1,5,5,0,32,32,0,zootopia_2016_s029,371,
zootopia_2016,zootopia_2016_reveal,Reveal,Reveal,1,5,5,0,49,49,0,zootopia_2016_s042,531,
