film_id,parser_character_id,review_character_id,parser_canonical_name,canonical_name,raw_speaker_labels,raw_speaker_label_variant_count,gender,gender_rationale,is_named,is_protagonist,included_in_network,merge_into_character_id,utterance_count,spoken_utterance_count,song_utterance_count,word_count_total,word_count_spoken_only,word_count_song_only,first_scene_id,first_event_id,review_notes
zootopia_2016,zootopia_2016_hopps,zootopia_2016_hopps,Hopps,Hopps,HOPPS | HOPPS (CONT'D) | HOPPS (O.C.) | HOPPS (O.S.) | HOPPS (V.O.) | HOPPS(CONT'D),6,F,,1,1,1,,303,303,0,4449,4449,0,zootopia_2016_s008,119,corrected gender M→F (Judy Hopps)
zootopia_2016,zootopia_2016_nick,zootopia_2016_nick,Nick,Nick,NICK | NICK (CONT'D) | NICK (O.S.) | NICK (V.O.) | YOUNG NICK | YOUNG NICK (CONT'D),6,M,,1,0,1,,185,185,0,3509,3509,0,zootopia_2016_s012,162,
zootopia_2016,zootopia_2016_bogo,zootopia_2016_bogo,Bogo,Bogo,BOGO | BOGO (CONT'D) | BOGO (O.S.) | BOGO (PRE-LAP),4,M,,1,0,1,,53,53,0,731,731,0,zootopia_2016_s010,142,
zootopia_2016,zootopia_2016_stu_hopps,zootopia_2016_stu_hopps,Stu Hopps,Stu Hopps,STU HOPPS | STU HOPPS (CONT'D) | STU HOPPS (O.S.) | STU HOPPS (V.O.),4,M,,1,0,1,,43,43,0,493,493,0,zootopia_2016_s001,1,Judy's father
zootopia_2016,zootopia_2016_bellwether,zootopia_2016_bellwether,Bellwether,Bellwether,BELLWETHER | BELLWETHER (CONT'D) | BELLWETHER (O.S.) | BELLWETHER (ON CARROT PEN RECORDER),4,F,,1,0,1,,42,41,1,797,763,34,zootopia_2016_s003,70,corrected gender M→F
zootopia_2016,zootopia_2016_bonnie_hopps,zootopia_2016_bonnie_hopps,Bonnie Hopps,Bonnie Hopps,BONNIE HOPPS | BONNIE HOPPS (O.S.) | BONNIE HOPPS (V.O.),3,F,,1,0,1,,35,35,0,320,320,0,zootopia_2016_s001,4,Judy's mother
zootopia_2016,zootopia_2016_clawhauser,zootopia_2016_clawhauser,Clawhauser,Clawhauser,CLAWHAUSER | CLAWHAUSER (CONT'D) | CLAWHAUSER (INTERCOM) | CLAWHAUSER (ON RADIO) | CLAWHAUSER(INTERCOM),5,M,,1,0,1,,23,23,0,375,375,0,zootopia_2016_s009,130,
zootopia_2016,zootopia_2016_flash,zootopia_2016_flash,Flash,Flash,FLASH,1,M,,1,0,1,,21,21,0,82,82,0,zootopia_2016_s031,398,
zootopia_2016,zootopia_2016_judy,zootopia_2016_judy,Judy,Judy,JUDY | JUDY (CONT'D) | YOUNG JUDY | YOUNG JUDY (CONT'D) | YOUNG JUDY (O.S.),5,F,,1,0,0,zootopia_2016_hopps,21,21,0,307,307,0,zootopia_2016_s001,2,alias of Hopps (Young Judy)
zootopia_2016,zootopia_2016_lionheart,zootopia_2016_lionheart,Lionheart,Lionheart,LIONHEART | LIONHEART (CONT'D) | LIONHEART (INTERCOM) | LIONHEART (O.S.),4,M,,1,0,1,,20,20,0,354,354,0,zootopia_2016_s003,67,
zootopia_2016,zootopia_2016_gideon_grey,zootopia_2016_gideon_grey,Gideon Grey,Gideon Grey,ADULT GIDEON GREY | GIDEON GREY | GIDEON GREY (CONT'D) | GIDEON GREY (V.O.),4,M,,1,0,1,,14,14,0,334,334,0,zootopia_2016_s001,24,
zootopia_2016,zootopia_2016_duke_weaselton,zootopia_2016_duke_weaselton,Duke Weaselton,Duke Weaselton,DUKE WEASELTON | DUKE WEASELTON (CONT'D) | DUKE WEASELTON (PRE-LAP) | DUKE WEASELTON (V.O.),4,M,,1,0,1,,13,13,0,250,250,0,zootopia_2016_s022,255,
zootopia_2016,zootopia_2016_mr_big,zootopia_2016_mr_big,Mr. Big,Mr. Big,MR. BIG,1,M,,1,0,1,,13,13,0,302,302,0,zootopia_2016_s038,486,
zootopia_2016,zootopia_2016_gazelle,zootopia_2016_gazelle,Gazelle,Gazelle,GAZELLE | GAZELLE (ON PHONE) | GAZELLE (V.O.),3,F,,1,0,1,,9,9,0,125,125,0,zootopia_2016_s007,116,
