speaker_clean,addressee_clean,utterance_count
zootopia_2016_hopps,zootopia_2016_nick,256
zootopia_2016_nick,zootopia_2016_hopps,141
zootopia_2016_hopps,zootopia_2016_bogo,42
zootopia_2016_hopps,zootopia_2016_bellwether,33
zootopia_2016_bogo,zootopia_2016_hopps,27
zootopia_2016_hopps,zootopia_2016_flash,26
zootopia_2016_hopps,zootopia_2016_clawhauser,24
zootopia_2016_bellwether,zootopia_2016_hopps,22
zootopia_2016_bonnie_hopps,zootopia_2016_hopps,18
zootopia_2016_stu_hopps,zootopia_2016_hopps,18
zootopia_2016_hopps,zootopia_2016_yax_the_hippie_yak,14
zootopia_2016_bonnie_hopps,zootopia_2016_stu_hopps,14
zootopia_2016_hopps,zootopia_2016_stu_hopps,12
zootopia_2016_hopps,zootopia_2016_duke_weaselton,12
zootopia_2016_clawhauser,zootopia_2016_hopps,11
zootopia_2016_stu_hopps,zootopia_2016_bonnie_hopps,11
zootopia_2016_flash,zootopia_2016_hopps,10
zootopia_2016_hopps,zootopia_2016_mr_big,10
zootopia_2016_reporter,zootopia_2016_hopps,8
zootopia_2016_lionheart,zootopia_2016_bellwether,7
zootopia_2016_clawhauser,zootopia_2016_bogo,7
zootopia_2016_nick,zootopia_2016_mr_big,6
zootopia_2016_hopps,zootopia_2016_lionheart,6
zootopia_2016_hopps,zootopia_2016_gideon_grey,6
zootopia_2016_flash,zootopia_2016_nick,6
zootopia_2016_gideon_grey,zootopia_2016_hopps,6
zootopia_2016_yax_the_hippie_yak,zootopia_2016_hopps,6
zootopia_2016_lionheart,zootopia_2016_doug,6
zootopia_2016_hopps,zootopia_2016_bonnie_hopps,6
zootopia_2016_bogo,zootopia_2016_clawhauser,5
zootopia_2016_bellwether,zootopia_2016_lionheart,5
zootopia_2016_bogo,zootopia_2016_mrs_otterton,5
zootopia_2016_duke_weaselton,zootopia_2016_hopps,5
zootopia_2016_yax_the_hippie_yak,zootopia_2016_nangi,5
zootopia_2016_nick,zootopia_2016_flash,5
zootopia_2016_mean_kid_animal,zootopia_2016_nick,5
zootopia_2016_major_friedkin,zootopia_2016_hopps,5
zootopia_2016_lionheart,zootopia_2016_hopps,4
zootopia_2016_kudu_pootosser,zootopia_2016_oryx_pootosser,4
zootopia_2016_badger_doctor,zootopia_2016_lionheart,4
zootopia_2016_hopps,zootopia_2016_fru_fru_shrew,4
zootopia_2016_nangi,zootopia_2016_yax_the_hippie_yak,4
zootopia_2016_nick,zootopia_2016_bogo,4
zootopia_2016_mrs_otterton,zootopia_2016_bogo,4
zootopia_2016_gazelle,zootopia_2016_bogo,3
zootopia_2016_fru_fru_shrew,zootopia_2016_hopps,3
zootopia_2016_mr_big,zootopia_2016_hopps,3
zootopia_2016_nick,zootopia_2016_bellwether,3
zootopia_2016_oryx_pootosser,zootopia_2016_hopps,3
