film_id,scene_id,scene_number,scene_header,marker_type,start_line,end_line,scene_position_pct,utterance_count,spoken_utterance_count,song_utterance_count
zootopia_2016,zootopia_2016_s001,1,EXT. CARROT DAYS FESTIVAL - LATER THAT DAY,slug_line,153,394,0.0,48,48,0
zootopia_2016,zootopia_2016_s002,2,EXT. POLICE ACADEMY TRAINING FACILITY - DAY,slug_line,395,511,0.0132,18,18,0
zootopia_2016,zootopia_2016_s003,3,EXT. POLICE ACADEMY - DAY,slug_line,512,580,0.0263,11,11,0
zootopia_2016,zootopia_2016_s004,4,EXT. BUNNYBURROW TRAIN STATION - DAY,slug_line,581,758,0.0395,37,37,0
zootopia_2016,zootopia_2016_s005,5,EXT. ZOOTOPIA CITY - ESTABLISHING,slug_line,759,766,0.0526,0,0,0
zootopia_2016,zootopia_2016_s006,6,INT. ZOOTOPIA CENTRAL STATION - A LITTLE LATER,slug_line,767,772,0.0658,1,1,0
zootopia_2016,zootopia_2016_s007,7,EXT. DOWNTOWN ZOOTOPIA - A LITTLE LATER,slug_line,773,786,0.0789,1,1,0
zootopia_2016,zootopia_2016_s008,8,"INT. HOPPS'S APARTMENT BUILDING, HALLWAY - DAY",slug_line,787,861,0.0921,11,11,0
zootopia_2016,zootopia_2016_s009,9,INT. ZOOTOPIA POLICE DEPARTMENT - MORNING,slug_line,862,935,0.1053,12,12,0
zootopia_2016,zootopia_2016_s010,10,INT. ZPD - BULLPEN - CONTINUOUS,slug_line,936,1051,0.1184,17,17,0
zootopia_2016,zootopia_2016_s011,11,INT. / EXT. METER MAID CART - DAY,slug_line,1052,1091,0.1316,5,5,0
zootopia_2016,zootopia_2016_s012,12,INT. JUMBEAUX'S CAFE - MOMENTS LATER,slug_line,1092,1234,0.1447,15,15,0
zootopia_2016,zootopia_2016_s013,13,EXT. JUMBEAUX'S CAFE - MOMENTS LATER,slug_line,1235,1295,0.1579,10,10,0
zootopia_2016,zootopia_2016_s014,14,EXT. SAHARA SQUARE - DAY,slug_line,1296,1310,0.1711,1,1,0
zootopia_2016,zootopia_2016_s015,15,EXT. TUNDRATOWN - A LITTLE LATER,slug_line,1311,1318,0.1842,0,0,0
zootopia_2016,zootopia_2016_s016,16,EXT. SAVANNAH CENTRAL - A LITTLE LATER,slug_line,1319,1332,0.1974,1,1,0
zootopia_2016,zootopia_2016_s017,17,EXT. LITTLE RODENTIA - A LITTLE LATER,slug_line,1333,1349,0.2105,3,3,0
zootopia_2016,zootopia_2016_s018,18,EXT. OUTSIDE LITTLE RODENTIA - MOMENTS LATER,slug_line,1350,1500,0.2237,22,22,0
zootopia_2016,zootopia_2016_s019,19,"INT. HOPPS'S APARTMENT, HALLWAY - EVENING",slug_line,1501,1632,0.2368,30,30,0
zootopia_2016,zootopia_2016_s020,20,EXT. STREETS OF ZOOTOPIA - THE NEXT DAY,slug_line,1633,1658,0.25,4,4,0
zootopia_2016,zootopia_2016_s021,21,INT. METER MAID CART,slug_line,1659,1697,0.2632,6,6,0
