film_id,event_id,scene_id,utterance_id,scene_position_pct,speaker,raw_speaker,character_id,canonical_name,text,word_count,utterance_type,addressee,addressee_type,line_number,parenthetical,cue_type,gender,gender_rationale,is_named,is_protagonist,included_in_network,parser_canonical_name
zootopia_2016,1,zootopia_2016_s001,zootopia_2016_s001_u0001,0.0,STU HOPPS,STU HOPPS,zootopia_2016_stu_hopps,Stu Hopps,"Judy, you ever wonder how your mom and me got to be so darn happy?",15,spoken,,,159,,standalone,M,,1,0,1,Stu Hopps
zootopia_2016,2,zootopia_2016_s001,zootopia_2016_s001_u0002,0.0,YOUNG JUDY,YOUNG JUDY,zootopia_2016_hopps,Hopps,Nope.,1,spoken,,,163,,standalone,F,,1,1,1,Judy
zootopia_2016,3,zootopia_2016_s001,zootopia_2016_s001_u0003,0.0,STU HOPPS,STU HOPPS,zootopia_2016_stu_hopps,Stu Hopps,"Well, we gave up on our dreams and we settled, right Bon?",12,spoken,,,166,,standalone,M,,1,0,1,Stu Hopps
zootopia_2016,4,zootopia_2016_s001,zootopia_2016_s001_u0004,0.0,BONNIE HOPPS,BONNIE HOPPS,zootopia_2016_bonnie_hopps,Bonnie Hopps,"Oh yes, that's right, Stu. We settled hard.",8,spoken,,,170,,standalone,F,,1,0,1,Bonnie Hopps
zootopia_2016,5,zootopia_2016_s001,zootopia_2016_s001_u0005,0.0,STU HOPPS,STU HOPPS,zootopia_2016_stu_hopps,Stu Hopps,"See, that's the beauty of complacency, Jude. If you don't try anything new, you'll never fail.",16,spoken,,,175,,standalone,M,,1,0,1,Stu Hopps
zootopia_2016,6,zootopia_2016_s001,zootopia_2016_s001_u0006,0.0,YOUNG JUDY,YOUNG JUDY,zootopia_2016_hopps,Hopps,"I like trying, actually.",4,spoken,,,180,,standalone,F,,1,1,1,Judy
zootopia_2016,7,zootopia_2016_s001,zootopia_2016_s001_u0007,0.0,BONNIE HOPPS,BONNIE HOPPS,zootopia_2016_bonnie_hopps,Bonnie Hopps,"What your father means, hon, is it's gonna be difficult-- impossible even-- for you to become a police officer.",19,spoken,,,183,,standalone,F,,1,0,1,Bonnie Hopps
zootopia_2016,8,zootopia_2016_s001,zootopia_2016_s001_u0008,0.0,STU HOPPS,STU HOPPS,zootopia_2016_stu_hopps,Stu Hopps,Right. There's never been a bunny cop.,7,spoken,,,189,,standalone,M,,1,0,1,Stu Hopps
zootopia_2016,9,zootopia_2016_s001,zootopia_2016_s001_u0009,0.0,BONNIE HOPPS,BONNIE HOPPS,zootopia_2016_bonnie_hopps,Bonnie Hopps,No.,1,spoken,,,193,,standalone,F,,1,0,1,Bonnie Hopps
zootopia_2016,10,zootopia_2016_s001,zootopia_2016_s001_u0010,0.0,STU HOPPS,STU HOPPS,zootopia_2016_stu_hopps,Stu Hopps,Bunnies don't do that.,4,spoken,,,196,,standalone,M,,1,0,1,Stu Hopps
