film_id,protagonist,lead_gender,monologue_pct,non_human_pct,isolation_pct,best_friend,bf_gender,bf_ratio_pct,bf_reciprocity,out_in_ratio,pct_addressed_by_male
beautyandthebeast_1991,Belle,F,6.5,1.8,8.3,Beast,M,28.6,0.98,0.91,83.5
mulan_1998,Mulan,F,15.5,0.0,15.5,Shang,M,22.5,1.19,0.37,85.9
frozen_2013,Anna,F,10.3,0.6,10.9,Kristoff,M,30.7,1.02,1.02,73.2
inside_out_2015,Joy,F,18.2,1.9,20.1,Sadness,F,30.1,0.8,1.1,37.4
zootopia_2016,Hopps,F,7.6,4.1,11.8,Nick,M,40.7,0.55,1.56,81.0
encanto_2021,Mirabel,F,8.2,1.8,10.0,Tio Bruno,M,15.5,1.15,0.86,30.6
raya_and_the_last_dragon_2021,Raya,F,9.2,1.1,10.3,Sisu,F,38.7,0.95,1.1,28.0
elemental_2023,Ember,F,18.2,2.7,20.8,Wade,M,37.5,1.24,0.79,85.2
toy_story_1995,Woody,M,12.5,3.6,16.0,Buzz,M,40.6,0.8,0.97,90.8
monsters_inc_2001,Mike,M,9.3,0.0,9.3,Sulley,M,44.2,0.53,1.56,69.8
monsters_inc_2001,Sulley,M,12.3,0.0,12.3,Mike,M,28.1,1.89,0.78,85.4
findingnemo,Marlin,M,6.6,1.9,8.5,Dory,F,28.7,0.85,1.02,49.3
up,Carl,M,7.8,3.3,11.0,Russell,M,51.4,0.97,0.97,87.4
toy_story_3_2010,Woody,M,9.8,1.1,10.9,Lotso,M,7.1,0.69,0.46,66.9
cars2,Mater,M,13.0,4.3,17.3,Mcqueen,M,21.3,1.36,0.72,73.4
coco_2017,Miguel,M,16.1,0.0,16.1,Héctor,M,23.7,1.2,0.66,63.5
incredibles_2_2018,Bob,M,3.4,0.0,3.4,Elastigirl,F,20.1,1.09,1.04,36.6
onward_2020,Ian,M,17.8,4.4,22.2,Barley,M,50.9,1.29,0.84,85.8
